Environment Size,Cumulative Reward - Train Combined,Cumulative Reward - ExNonZeroDiscount,Cumulative Reward - Greedy K
16.0,207.0,207.0,207.0
25.0,210.0,210.0,210.0
36.0,211.0,213.0,213.0
